epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11331.7,3.39759,4.8494,3.28957,0.56796,0.15578,0.1314,0.07237,3.2446,4.71994,3.44195,0.000424187,0.000424187,0.000424187
43,11587,3.35105,4.8073,3.25882,0.56932,0.14725,0.12455,0.07025,3.22545,4.60438,3.40777,0.000417119,0.000417119,0.000417119
44,11841,3.30246,4.78844,3.27839,0.54112,0.15228,0.13066,0.07536,3.20043,4.58397,3.40641,0.00041005,0.00041005,0.00041005
45,12094.9,3.26465,4.7957,3.22863,0.53904,0.14986,0.12924,0.07611,3.16283,4.57202,3.42344,0.000402982,0.000402982,0.000402982
46,12348.1,3.34725,4.75739,3.25506,0.56697,0.13791,0.12982,0.07335,3.2082,4.80275,3.4087,0.000395913,0.000395913,0.000395913
47,12600.2,3.30934,4.75477,3.25022,0.58857,0.12176,0.12078,0.069,3.19918,4.63956,3.42422,0.000388844,0.000388844,0.000388844
48,12854.6,3.32229,4.69548,3.23743,0.54663,0.15636,0.13204,0.07332,3.21507,4.59296,3.3911,0.000381776,0.000381776,0.000381776
49,13109.3,3.28827,4.56998,3.22521,0.57392,0.14478,0.13754,0.07722,3.2096,4.47623,3.37262,0.000374707,0.000374707,0.000374707
50,13363.5,3.2867,4.56364,3.19456,0.53824,0.1496,0.12695,0.07003,3.20992,4.50541,3.38678,0.000367639,0.000367639,0.000367639
51,13617.4,3.30571,4.49921,3.1918,0.57371,0.17886,0.14381,0.08051,3.15455,4.42972,3.34397,0.00036057,0.00036057,0.00036057
52,13872,3.26884,4.52614,3.17783,0.58238,0.14122,0.13156,0.07503,3.19904,4.44384,3.40989,0.000353501,0.000353501,0.000353501
53,14127.1,3.2688,4.52382,3.18902,0.59454,0.15657,0.14853,0.08668,3.18165,4.32925,3.36666,0.000346433,0.000346433,0.000346433
54,14381.2,3.2936,4.45409,3.19746,0.556,0.16315,0.14243,0.08342,3.18028,4.27916,3.36912,0.000339364,0.000339364,0.000339364
55,14636,3.28662,4.5859,3.19489,0.46852,0.1571,0.13103,0.07345,3.22037,4.46398,3.35488,0.000332296,0.000332296,0.000332296
56,14890.6,3.24613,4.37606,3.13748,0.47047,0.16373,0.15054,0.08962,3.16237,4.25969,3.33809,0.000325227,0.000325227,0.000325227
57,15145.2,3.22128,4.46633,3.16568,0.46072,0.17483,0.14226,0.08361,3.11274,4.3166,3.29494,0.000318158,0.000318158,0.000318158
58,15400,3.21314,4.42723,3.12492,0.59468,0.14841,0.14903,0.08688,3.14301,4.35994,3.32002,0.00031109,0.00031109,0.00031109
59,15654.4,3.20951,4.38024,3.13789,0.57423,0.14567,0.14243,0.08386,3.14786,4.32553,3.32076,0.000304021,0.000304021,0.000304021
60,15908.5,3.20803,4.41001,3.14921,0.54229,0.17362,0.14033,0.08481,3.13522,4.31613,3.27559,0.000296953,0.000296953,0.000296953
61,16162.3,3.1776,4.28583,3.1245,0.57381,0.1597,0.14954,0.0892,3.12739,4.30531,3.28721,0.000289884,0.000289884,0.000289884
62,16416.4,3.18594,4.35909,3.12941,0.47064,0.16906,0.15597,0.09197,3.11993,4.16335,3.28796,0.000282815,0.000282815,0.000282815
63,16669.2,3.18207,4.3172,3.12713,0.57583,0.16271,0.14256,0.08529,3.13241,4.19901,3.32677,0.000275747,0.000275747,0.000275747
64,16921.3,3.18112,4.27819,3.12377,0.58757,0.16158,0.15119,0.08962,3.11465,4.16708,3.31383,0.000268678,0.000268678,0.000268678
65,17173,3.12476,4.25766,3.10512,0.58403,0.17926,0.15019,0.0893,3.09021,4.11611,3.28158,0.00026161,0.00026161,0.00026161
66,17425.7,3.16981,4.25532,3.08914,0.58876,0.16094,0.14991,0.0882,3.14025,4.17211,3.32003,0.000254541,0.000254541,0.000254541
67,17678.2,3.14886,4.27276,3.09158,0.48194,0.16195,0.14854,0.08891,3.09497,4.10852,3.28542,0.000247472,0.000247472,0.000247472
68,17930.3,3.16849,4.18022,3.10481,0.46571,0.16559,0.15636,0.09344,3.1074,4.04803,3.30097,0.000240404,0.000240404,0.000240404
69,18183.6,3.15719,4.18969,3.09734,0.49439,0.16056,0.15719,0.0945,3.14723,4.15133,3.31932,0.000233335,0.000233335,0.000233335
70,18434.3,3.16908,4.24163,3.10379,0.58822,0.15991,0.15006,0.08858,3.11535,4.11542,3.30751,0.000226267,0.000226267,0.000226267
71,18686.6,3.16075,4.071,3.06578,0.52655,0.18724,0.17124,0.09893,3.10999,3.99246,3.2934,0.000219198,0.000219198,0.000219198
72,18940.5,3.13376,4.12179,3.07215,0.4944,0.17457,0.16051,0.09555,3.12856,4.07664,3.27803,0.000212129,0.000212129,0.000212129
73,19192.8,3.11965,4.11682,3.06083,0.49644,0.1831,0.1652,0.09796,3.10328,4.00492,3.27044,0.000205061,0.000205061,0.000205061
74,19443.6,3.11238,4.09221,3.05313,0.47804,0.18416,0.16496,0.09796,3.1174,4.02836,3.28162,0.000197992,0.000197992,0.000197992
75,19695.5,3.12817,4.04134,3.0536,0.47302,0.19049,0.16427,0.09772,3.10988,4.07189,3.26548,0.000190924,0.000190924,0.000190924
76,19946.5,3.08845,4.13179,3.08409,0.46544,0.1958,0.16447,0.09886,3.11413,4.05371,3.25628,0.000183855,0.000183855,0.000183855
77,20197.5,3.07103,4.00544,3.04429,0.50372,0.19816,0.17049,0.10107,3.12405,4.10638,3.29195,0.000176786,0.000176786,0.000176786
78,20450.7,3.12099,4.01291,3.06416,0.39517,0.2069,0.17175,0.10387,3.09895,3.98005,3.2488,0.000169718,0.000169718,0.000169718
79,20702,3.09633,4.13377,3.05057,0.52005,0.17549,0.16929,0.10044,3.09727,4.02496,3.30261,0.000162649,0.000162649,0.000162649
80,20952,3.12,4.08477,3.05857,0.47954,0.18735,0.16687,0.1005,3.0713,4.06252,3.28249,0.000155581,0.000155581,0.000155581
81,21206.7,3.10705,4.02333,3.02703,0.48527,0.20434,0.17143,0.10114,3.12278,3.9045,3.27168,0.000148512,0.000148512,0.000148512
82,21461.2,3.02756,3.95976,3.00979,0.53751,0.18807,0.1745,0.10531,3.09716,3.93469,3.25535,0.000141443,0.000141443,0.000141443
83,21714.2,3.08486,3.9892,3.03299,0.49089,0.20103,0.17878,0.10726,3.08815,3.93026,3.25066,0.000134375,0.000134375,0.000134375
84,21966.5,3.08404,3.99844,3.02751,0.38275,0.20786,0.17304,0.10295,3.10448,3.91049,3.26283,0.000127306,0.000127306,0.000127306
85,22219.6,3.05326,4.03415,3.01648,0.50666,0.20279,0.1689,0.09978,3.07339,3.94261,3.25412,0.000120238,0.000120238,0.000120238
86,22470.9,3.03865,3.99414,3.05208,0.40563,0.19824,0.16811,0.10095,3.1065,3.96649,3.27455,0.000113169,0.000113169,0.000113169
87,22722.6,3.07236,3.91044,3.03584,0.49922,0.20205,0.17481,0.10419,3.09849,3.91108,3.22658,0.0001061,0.0001061,0.0001061
88,22974.4,3.01687,3.85399,2.97432,0.38352,0.19959,0.17657,0.10564,3.08401,3.89084,3.228,9.90318e-05,9.90318e-05,9.90318e-05
89,23227.5,3.05796,3.85957,3.00157,0.40228,0.21403,0.17593,0.10518,3.07695,3.86138,3.22873,9.19632e-05,9.19632e-05,9.19632e-05
90,23480,3.04301,3.90786,3.00969,0.49675,0.18496,0.17172,0.10289,3.07966,3.92151,3.21253,8.48946e-05,8.48946e-05,8.48946e-05
91,23726.4,2.9974,3.9332,3.05689,0.49513,0.19602,0.17397,0.10473,3.12981,4.10282,3.27089,7.7826e-05,7.7826e-05,7.7826e-05
92,23972.6,2.97411,3.76949,3.02407,0.4741,0.19878,0.17592,0.10618,3.08327,3.97463,3.2376,7.07574e-05,7.07574e-05,7.07574e-05
93,24218.2,2.93845,3.64102,3.03139,0.49375,0.19858,0.17576,0.10667,3.09437,3.93152,3.2673,6.36888e-05,6.36888e-05,6.36888e-05
94,24464.2,2.94355,3.55298,2.99576,0.37108,0.20199,0.17921,0.10802,3.06363,3.92481,3.21309,5.66202e-05,5.66202e-05,5.66202e-05
95,24709.8,2.9073,3.5231,2.97893,0.38423,0.20434,0.17896,0.1086,3.0715,3.90366,3.22854,4.95516e-05,4.95516e-05,4.95516e-05
96,24955,2.89193,3.51941,2.98912,0.593,0.16774,0.18419,0.11289,3.0608,3.87646,3.21616,4.2483e-05,4.2483e-05,4.2483e-05
97,25200.8,2.92802,3.54279,3.00191,0.39399,0.20466,0.18478,0.11153,3.05004,3.89466,3.20448,3.54144e-05,3.54144e-05,3.54144e-05
98,25447,2.90394,3.55687,2.98262,0.39846,0.21054,0.18774,0.11262,3.06678,3.86665,3.21796,2.83458e-05,2.83458e-05,2.83458e-05
99,25693.6,2.87954,3.54163,3.00519,0.3972,0.20514,0.18775,0.11373,3.0564,3.85711,3.2131,2.12772e-05,2.12772e-05,2.12772e-05
100,25939.3,2.93004,3.52803,3.0027,0.42164,0.21613,0.18756,0.11286,3.06373,3.86106,3.21764,1.42086e-05,1.42086e-05,1.42086e-05
